Episode,Avg_Reward_100,Avg_Final_Score_100,Total_Timesteps
37500,1.80,45.86,1063012
37600,1.63,44.23,1065822
37700,1.71,45.87,1068604
37800,1.47,43.25,1071461
37900,1.50,39.91,1074273
38000,1.51,43.12,1077035
38100,1.44,40.19,1079772
38200,1.35,40.21,1082531
38300,1.47,41.06,1085336
38400,1.61,43.25,1088146
38500,1.61,43.48,1090973
38600,1.63,41.63,1093784
38700,1.73,45.60,1096545
38800,1.73,43.94,1099294
38900,1.64,42.03,1102094
39000,1.71,46.41,1104889
39100,1.48,40.10,1107664
39200,1.71,41.79,1110437
39300,1.51,42.17,1113273
39400,1.33,41.90,1116094
39500,1.69,41.78,1118868
39600,1.73,44.30,1121720
39700,1.56,42.53,1124558
39800,1.48,40.46,1127348
39900,1.71,43.82,1130181
40000,1.50,42.39,1133041
40100,1.42,40.57,1135841
40200,1.48,42.61,1138701
40300,1.48,39.86,1141455
40400,1.76,45.66,1144268
40500,1.51,41.34,1147109
40600,1.76,43.40,1149945
40700,1.87,45.80,1152809
40800,1.79,46.40,1155649
40900,1.59,41.93,1158526
41000,1.65,43.12,1161379
41100,1.91,47.35,1164241
41200,1.53,42.24,1167091
41300,1.85,45.64,1169929
41400,1.63,41.66,1172805
41500,1.55,41.75,1175664
41600,1.44,41.22,1178565
41700,1.62,42.57,1181449
41800,1.64,43.02,1184312
41900,1.85,45.27,1187161
42000,1.63,42.12,1189995
42100,1.51,42.11,1192827
42200,1.48,41.46,1195702
42300,1.42,42.46,1198571
42400,1.58,39.63,1201450
42500,1.64,42.32,1204315
42600,1.69,44.13,1207171
42700,1.49,42.77,1210054
42800,1.70,45.00,1212947
42900,1.57,44.39,1215841
43000,1.51,42.56,1218708
43100,1.68,44.36,1221600
43200,1.53,41.05,1224502
43300,1.63,44.79,1227396
43400,1.63,42.86,1230276
43500,1.58,40.91,1233143
43600,1.59,42.97,1236093
43700,1.59,42.19,1239029
43800,1.65,42.25,1241976
43900,1.71,43.66,1244846
44000,1.73,44.53,1247748
44100,1.75,42.18,1250635
44200,1.75,41.87,1253580
44300,1.65,43.20,1256491
44400,1.74,40.89,1259382
44500,1.85,43.99,1262247
44600,1.81,45.12,1265115
44700,1.84,40.11,1268021
44800,1.86,43.62,1270914
44900,1.65,40.76,1273859
45000,1.76,42.80,1276800
45100,1.73,43.18,1279766
45200,1.81,42.56,1282727
45300,1.81,43.70,1285713
45400,1.73,42.90,1288640
45500,1.84,45.55,1291619
45600,2.01,44.31,1294546
45700,1.83,42.16,1297502
45800,1.88,43.49,1300510
45900,1.93,43.11,1303502
46000,1.81,41.99,1306484
46100,2.10,45.41,1309534
46200,2.04,44.67,1312549
46300,1.90,42.61,1315590
46400,1.82,42.82,1318621
46500,1.89,39.69,1321630
46600,1.97,43.32,1324707
46700,2.04,44.06,1327800
46800,2.00,42.30,1330863
46900,2.00,40.48,1333907
47000,2.16,43.38,1336989
47100,2.07,42.52,1340096
47200,2.20,45.03,1343181
47300,2.18,42.10,1346283
47400,2.10,41.44,1349384
47500,2.31,44.86,1352530
47600,2.30,45.09,1355688
47700,2.26,43.11,1358853
47800,2.32,43.51,1362008
47900,2.15,41.78,1365146
48000,2.23,42.91,1368290
48100,2.46,46.48,1371491
48200,2.23,42.63,1374653
48300,2.28,41.78,1377839
48400,2.38,44.77,1381040
48500,2.36,43.66,1384292
48600,2.54,44.87,1387562
48700,2.43,43.30,1390760
48800,2.39,42.86,1393976
48900,2.42,43.31,1397201
49000,2.50,43.38,1400437
49100,2.80,46.64,1403696
49200,2.55,43.79,1406949
49300,2.52,45.67,1410206
49400,2.41,41.83,1413456
49500,2.41,42.36,1416710
49600,2.55,45.18,1419957
49700,2.52,43.16,1423211
49800,2.57,45.51,1426455
49900,2.44,43.60,1429691
50000,2.45,42.27,1432940
50100,2.66,44.32,1436236
50200,2.60,43.60,1439490
50300,2.59,42.18,1442773
50400,2.60,43.98,1446045
50500,2.55,42.80,1449380
50600,2.64,42.90,1452714
50700,2.61,42.17,1456052
50800,2.76,45.51,1459405
50900,2.72,44.03,1462756
51000,2.81,46.27,1466096
51100,2.69,43.33,1469452
51200,2.61,41.87,1472799
51300,2.57,40.13,1476178
51400,2.67,42.76,1479556
51500,2.77,43.77,1482977
51600,2.85,45.12,1486390
51700,2.72,42.59,1489824
51800,2.62,41.40,1493261
51900,2.75,42.46,1496700
52000,2.72,42.58,1500153
52100,2.65,41.02,1503578
52200,2.99,46.86,1507069
52300,2.92,45.77,1510529
52400,2.76,42.32,1513988
52500,2.73,42.65,1517431
52600,2.91,45.34,1520881
52700,2.78,43.09,1524326
52800,2.72,41.45,1527757
52900,2.62,40.42,1531180
53000,2.66,40.00,1534651
53100,2.68,39.97,1538089
53200,2.81,42.73,1541573
53300,2.77,41.29,1545055
53400,2.95,45.06,1548555
53500,2.82,42.44,1552014
53600,3.00,47.38,1555496
53700,2.89,43.47,1558992
53800,2.81,42.08,1562477
53900,2.74,41.16,1565947
54000,2.84,43.31,1569432
54100,2.68,39.40,1572892
54200,2.74,40.73,1576355
54300,2.91,44.10,1579804
54400,2.75,40.95,1583272
54500,2.84,43.71,1586731
54600,2.77,41.40,1590218
54700,2.93,45.38,1593703
54800,2.85,42.30,1597169
54900,2.80,42.00,1600635
55000,2.85,42.14,1604157
55100,2.88,43.49,1607657
55200,2.81,41.33,1611193
55300,2.92,43.41,1614743
55400,2.94,42.97,1618310
55500,2.87,41.79,1621881
55600,2.98,43.85,1625453
55700,2.96,43.57,1629032
55800,2.86,41.14,1632606
55900,2.81,39.70,1636185
56000,2.95,43.45,1639764
56100,2.96,43.81,1643350
56200,3.03,45.19,1646925
56300,2.91,42.52,1650512
56400,2.96,44.11,1654076
56500,2.88,41.91,1657664
56600,3.00,45.06,1661230
56700,2.89,41.76,1664802
56800,2.90,42.15,1668390
56900,2.91,42.42,1671963
57000,3.00,45.25,1675546
57100,2.99,44.66,1679138
57200,2.89,41.47,1682727
57300,2.87,41.68,1686309
57400,2.97,43.73,1689894
57500,2.94,43.23,1693478
57600,2.90,42.24,1697055
57700,2.96,43.64,1700634
57800,2.97,44.29,1704221
57900,2.89,42.13,1707795
58000,2.90,42.23,1711374
58100,2.91,42.44,1714967
58200,2.91,42.37,1718549
58300,2.94,42.96,1722135
58400,3.06,45.83,1725725
58500,2.95,43.52,1729309
58600,2.97,44.21,1732903
58700,2.93,43.28,1736485
58800,2.80,39.88,1740073
58900,2.97,43.64,1743662
59000,3.05,45.75,1747239
59100,2.95,43.19,1750830
59200,3.01,45.46,1754413
59300,2.93,42.69,1757999
59400,2.90,42.60,1761564
59500,2.91,42.31,1765143
59600,2.96,43.60,1768716
59700,2.92,42.67,1772284
59800,2.94,43.38,1775859
59900,2.96,44.44,1779428
60000,2.87,41.47,1782998
60100,2.86,41.11,1786563
60200,2.98,44.75,1790094
60300,2.88,42.28,1793619
60400,3.01,45.23,1797158
60500,2.96,44.57,1800697
60600,2.94,44.02,1804234
60700,2.88,42.05,1807787
60800,2.87,42.07,1811333
60900,2.81,40.29,1814869
61000,2.92,43.21,1818409
61100,2.86,41.44,1821961
61200,2.92,43.29,1825501
61300,2.82,40.30,1829051
61400,2.97,43.82,1832607
61500,2.93,43.07,1836161
61600,2.83,40.52,1839707
61700,2.87,42.10,1843241
61800,2.86,42.48,1846776
61900,2.99,44.88,1850321
62000,2.97,44.12,1853858
62100,2.93,43.31,1857416
62200,3.08,46.90,1860970
62300,2.92,43.40,1864531
62400,2.83,40.95,1868071
62500,2.90,42.54,1871617
62600,3.05,45.99,1875172
62700,2.93,43.78,1878736
62800,2.90,43.54,1882267
62900,2.78,40.30,1885806
63000,2.80,40.14,1889341
63100,2.90,42.90,1892866
63200,2.77,40.64,1896401
63300,2.79,39.89,1899939
63400,2.86,41.55,1903468
63500,2.96,44.31,1907003
63600,2.90,42.60,1910552
63700,2.86,42.37,1914094
63800,3.02,45.65,1917629
63900,2.87,41.44,1921185
64000,2.89,42.54,1924732
64100,2.91,43.05,1928261
64200,2.85,41.02,1931814
64300,2.90,42.69,1935369
64400,2.98,44.38,1938938
64500,2.88,42.28,1942482
64600,2.95,43.60,1946040
64700,2.97,43.97,1949607
64800,2.92,42.75,1953171
64900,2.93,42.63,1956752
65000,2.89,42.03,1960330
65100,2.93,43.25,1963904
65200,2.94,42.99,1967478
65300,2.91,42.29,1971051
65400,2.92,42.78,1974626
65500,2.97,44.27,1978196
65600,2.98,43.89,1981780
65700,2.91,42.21,1985355
65800,2.77,39.44,1988961
65900,2.90,42.27,1992540
66000,3.00,44.07,1996133
66100,2.95,43.25,1999715
66200,2.93,42.72,2003308
66300,2.89,42.52,2006891
66400,2.96,43.73,2010480
66500,2.96,43.53,2014066
66500,3.04,45.45,2014061
66600,2.89,41.65,2017675
66600,2.96,43.55,2017662
66700,2.90,41.87,2021273
66700,2.89,42.16,2021247
66800,2.84,40.40,2024870
66800,2.97,43.78,2024825
66900,2.88,41.20,2028464
66900,2.82,40.28,2028415
67000,2.91,42.23,2032068
67000,2.77,39.09,2032003
67100,2.90,41.81,2035665
67100,3.01,44.89,2035590
